,Filename,ALBUM,ARTIST,GENRE,TITLE,YEAR,TAG
18,케이시 (Kassy) - 그때가 좋았어,그때가 좋았어,케이시 (Kassy),Ballad,그때가 좋았어,2018,#발라드 #국내 #애절한 #발라드한 #애절하고 슬픈 멜로디의 노래 #국내외 록 발라드 명곡 콜렉션 #고음질FLAC
19,"볼빨간사춘기 - 나만, 봄",사춘기집 I 꽃기운,볼빨간사춘기,Indie,"나만, 봄",2019,#국내 #인디 #잔잔한 #기타 #악기 #어쿠스틱 #카페 #분위기 있는 감성인디 #편안하게 듣는 잔잔한 음악 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
20,"Mena Massoud, Naomi Scott - A Whole New World",Aladdin (Original Motion Picture Soundtrack),Mena Massoud & Naomi Scott,Soundtrack,A Whole New World,2019,#국외 #오후 #어쿠스틱 #감성적인 #밤/새벽 #잔잔한 #몽환적인 #쓸쓸한 #어쿠스틱한 노래모음 #여름 밤의 진한 감성충전음악 #잠못 이룬 새벽에 듣기좋은 음악 #강력추천 센티멘탈 감성 팝 #편안하게 듣는 잔잔한 음악 #꿈을 꾸는 듯한 몽환적 사운드 #쓸쓸한 느낌을 주는 공허한 멜로디 # 쓸쓸한
21,첸 (CHEN) - 사월이 지나면 우리 헤어져요 (Beautiful goodbye),"사월, 그리고 꽃 - The 1st Mini Album",첸 (CHEN),Ballad,사월이 지나면 우리 헤어져요 (Beautiful goodbye),2019,#발라드 #국내 #애절한 #발라드한 #애절하고 슬픈 멜로디의 노래 #국내외 록 발라드 명곡 콜렉션 #고음질FLAC
22,WINNER - AH YEAH (아예),WE,WINNER,Dance,AH YEAH (아예),2019,#국내 #댄스 #썸 탈때 #오후 #사랑/기쁨 #어쿠스틱 #카페 #나른한 오후에 듣기좋은 노래 #썸 탈때 듣는 두근두근 노래 #사랑을 주제로 한 러브송 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
23,엠씨더맥스 - 사계 (하루살이),Circular,엠씨더맥스,Ballad,사계 (하루살이),2019,#발라드 #국내 #애절한 #발라드한 #애절하고 슬픈 멜로디의 노래 #국내외 록 발라드 명곡 콜렉션 #고음질FLAC
24,우디 (Woody) - 대충 입고 나와,대충 입고 나와,우디 (Woody),Indie,대충 입고 나와,2019,#국내 #인디 #잔잔한 #기타 #악기 #어쿠스틱 #카페 #분위기 있는 감성인디 #편안하게 듣는 잔잔한 음악 #어쿠스틱한 노래모음 #카페에서 듣기좋은 노래
25,"기리보이 - 아퍼 (Feat. Kid Milli, Lil tachi, 김승민, NO：EL, C JAMM)",100년제전문대학,기리보이,"Rap, Hip","아퍼 (Feat. Kid Milli, Lil tachi, 김승민, NO:EL, C JAMM)",2019,#국내 #힙합 #랩 #듀엣/피처링 #고음질FLAC #달콤 쌉싸름한 멜로우 감성 힙합 #피처링&콜라보가 돋보이는 음악
26,폴킴 - 너를 만나,너를 만나,폴킴,Ballad,너를 만나,2018,#발라드 #국내 #애절한 #발라드한 #애절하고 슬픈 멜로디의 노래 #국내외 록 발라드 명곡 콜렉션 #고음질FLAC
27,"폴킴 - 모든 날, 모든 순간 (Every day, Every Moment)",`키스 먼저 할까요?` OST Part.3,폴킴,"Drama, Ballad","모든 날, 모든 순간 (Every day, Every Moment)",2018,#OST #국내 #영화/드라마 #애절한 #영화/드라마 OST 콜렉션 #애절하고 슬픈 멜로디의 노래
